id,name,email,password,role
70dcbac4-cfe9-4cb0-a68e-3d00fb31dfac,Admien,admin@bankit.com,Admin##1,ADMIN
a63c9225-4fe6-4f49-bd0f-0eafdba067d6,User1,user1@bankit.com,User1##1,USER
b41f26bb-88d6-466e-9f31-37fd247ee07b,Kelompok_A_Kelas_A,insys-A-A@bankit.com,Insys#AA#147,USER
0f29ed5c-7238-4b5c-8539-d0f508affbca,Kelompok_B_Kelas_A,insys-A-B@bankit.com,Insys#AB#085,USER
0bf06157-d7e2-4493-aa60-2b475c03dcf6,Kelompok_C_Kelas_A,insys-A-C@bankit.com,Insys#AC#198,USER
8a289210-574e-4348-a1d0-5a35dc21bffd,Kelompok_D_Kelas_A,insys-A-D@bankit.com,Insys#AD#091,USER
08fcc4b5-e5b5-4c06-8acc-458b4f85f423,Kelompok_E_Kelas_A,insys-A-E@bankit.com,Insys#AE#081,USER
99177762-0f24-4491-9e97-490961376f01,Kelompok_F_Kelas_A,insys-A-F@bankit.com,Insys#AF#137,USER
3701f642-1187-48c6-849a-3512da846590,Kelompok_G_Kelas_A,insys-A-G@bankit.com,Insys#AG#014,USER
1a154dd7-95ae-4486-a2f7-de11aee42937,Kelompok_H_Kelas_A,insys-A-H@bankit.com,Insys#AH#124,USER
a6c7fecd-c098-4356-94d5-a631fe4760d5,Kelompok_I_Kelas_A,insys-A-I@bankit.com,Insys#AI#221,USER
52fa2991-0fa9-4b82-82ff-e81a46865454,Kelompok_J_Kelas_A,insys-A-J@bankit.com,Insys#AJ#154,USER
28795500-c0c5-4232-8c88-429bb31d399b,Kelompok_K_Kelas_A,insys-A-K@bankit.com,Insys#AK#061,USER
f0b9976b-b839-4ca5-ae73-eea62da2e1db,Kelompok_L_Kelas_A,insys-A-L@bankit.com,Insys#AL#104,USER
eb4550a8-778d-4b94-b33f-89889666aefe,Kelompok_M_Kelas_A,insys-A-M@bankit.com,Insys#AM#086,USER
84f75090-11fa-4698-90ab-2dd4135ede65,Kelompok_N_Kelas_A,insys-A-N@bankit.com,Insys#AN#057,USER
ed886820-7af9-4ca1-8e39-1687d004d0ec,Kelompok_O_Kelas_A,insys-A-O@bankit.com,Insys#AO#167,USER
ea54b623-7dc6-4c48-b1e3-aaaa222b9a3a,Kelompok_A_Kelas_B,insys-B-A@bankit.com,Insys#BA#008,USER
8de0c97d-15b9-4ba1-abbd-90f120ad3b02,Kelompok_B_Kelas_B,insys-B-B@bankit.com,Insys#BB#119,USER
a8af9243-7cee-49f5-8598-5aa6fdf7520f,Kelompok_C_Kelas_B,insys-B-C@bankit.com,Insys#BC#135,USER
466ff95f-ca92-43ed-abcb-4128d77239ba,Kelompok_D_Kelas_B,insys-B-D@bankit.com,Insys#BD#062,USER
28f445f4-53c1-48f6-8e5a-bf6c19032a2a,Kelompok_E_Kelas_B,insys-B-E@bankit.com,Insys#BE#094,USER
f821c673-a4b6-46e9-b097-8358bf7451bd,Kelompok_F_Kelas_B,insys-B-F@bankit.com,Insys#BF#201,USER
85993a0a-84ac-48fe-9b46-d2de13ab1c0e,Kelompok_G_Kelas_B,insys-B-G@bankit.com,Insys#BG#131,USER
3c8e454a-4901-42d6-bd0e-e8a77ab31aa3,Kelompok_H_Kelas_B,insys-B-H@bankit.com,Insys#BH#182,USER
7f4128a0-7967-4017-90c5-45a38c6542b8,Kelompok_I_Kelas_B,insys-B-I@bankit.com,Insys#BI#068,USER
cd148442-a675-4ff2-b259-10dc5b2929a7,Kelompok_J_Kelas_B,insys-B-J@bankit.com,Insys#BJ#138,USER
7a89e90d-a1f6-4f4d-bd09-1c9492cc882a,Kelompok_K_Kelas_B,insys-B-K@bankit.com,Insys#BK#182,USER
f74334f6-8e14-4029-a60f-bd0bdb86c039,Kelompok_L_Kelas_B,insys-B-L@bankit.com,Insys#BL#152,USER
591a9930-1a12-42ad-a113-393216fa85d1,Kelompok_M_Kelas_B,insys-B-M@bankit.com,Insys#BM#125,USER
103c10e5-3722-4db8-bce8-d0b7c70d1537,Kelompok_N_Kelas_B,insys-B-N@bankit.com,Insys#BN#118,USER
fd915eb6-843b-4323-bb65-82ce8448017d,Kelompok_O_Kelas_B,insys-B-O@bankit.com,Insys#BO#016,USER
69e1ba53-2f07-43b8-a9ca-10abc78a3c16,Kelompok_P_Kelas_B,insys-B-P@bankit.com,Insys#BP#106,USER
035ef6dc-2a7e-4195-894b-362040d986db,Kelompok_Q_Kelas_B,insys-B-Q@bankit.com,Insys#BQ#210,USER
37367fec-6f08-45e2-b4bc-85b37584eeb1,Kelompok_R_Kelas_B,insys-B-R@bankit.com,Insys#BR#174,USER
